Title,Year,Genre_1,Genre_2,Genre_3,Age_Rating,Runtime,Director,Star_1,Star_2,Star_3,IMDb_Rating,Metascore
Civil War,2024.0,Action,Thriller,,R,109,Alex Garland,Kirsten Dunst,Wagner Moura,Cailee Spaeny,7.6,75.0
Dune: Part Two,2024.0,Action,Adventure,Drama,PG-13,166,Denis Villeneuve,Timothée Chalamet,Zendaya,Rebecca Ferguson,8.7,79.0
Monkey Man,2024.0,Action,Thriller,,R,121,Dev Patel,Dev Patel,Sharlto Copley,Pitobash,7.3,70.0
Godzilla x Kong: The New Empire,2024.0,Action,Adventure,Sci-Fi,PG-13,115,Adam Wingard,Rebecca Hall,Brian Tyree Henry,Dan Stevens,6.5,47.0
Scoop,2024.0,Biography,Drama,,TV-14,102,Philip Martin,Billie Piper,Gillian Anderson,Rufus Sewell,6.6,63.0
Road House,2024.0,Action,Thriller,,R,121,Doug Liman,Jake Gyllenhaal,Daniela Melchior,Conor McGregor,6.2,57.0
The First Omen,2024.0,Horror,,,R,119,Arkasha Stevenson,Nell Tiger Free,Ralph Ineson,Sonia Braga,6.9,65.0
Abigail,2024.0,Horror,Thriller,,R,109,Matt Bettinelli-Olpin,Melissa Barrera,Dan Stevens,Alisha Weir,7.1,63.0
Wish,2023.0,Animation,Adventure,Comedy,PG,95,Chris Buck,Ariana DeBose,Chris Pine,Alan Tudyk,5.6,47.0
Poor Things,2023.0,Comedy,Drama,Romance,R,141,Yorgos Lanthimos,Emma Stone,Mark Ruffalo,Willem Dafoe,7.9,88.0
Dune,2021.0,Action,Adventure,Drama,PG-13,155,Denis Villeneuve,Timothée Chalamet,Rebecca Ferguson,Zendaya,8.0,74.0
Kung Fu Panda 4,2024.0,Animation,Action,Adventure,PG,94,Mike Mitchell,Jack Black,Awkwafina,Viola Davis,6.4,54.0
Ghostbusters: Frozen Empire,2024.0,Adventure,Comedy,Fantasy,PG-13,115,Gil Kenan,Paul Rudd,Carrie Coon,Finn Wolfhard,6.4,46.0
Oppenheimer,2023.0,Biography,Drama,History,R,180,Christopher Nolan,Cillian Murphy,Emily Blunt,Matt Damon,8.3,90.0
Fabbricante di lacrime,2024.0,Drama,Fantasy,Romance,TV-MA,103,Alessandro Genovesi,Simone Baldasseroni,Caterina Ferioli,Sabrina Paravicini,5.2,
Argylle,2024.0,Action,Comedy,Thriller,PG-13,139,Matthew Vaughn,Henry Cavill,Bryce Dallas Howard,Sam Rockwell,5.7,35.0
MaXXXine,2024.0,Crime,Horror,,R,103,Ti West,Mia Goth,Elizabeth Debicki,Moses Sumney,,
The Zone of Interest,2023.0,Drama,History,War,PG-13,105,Jonathan Glazer,Christian Friedel,Sandra Hüller,Johann Karthaus,7.5,92.0
The Gentlemen,2019.0,Action,Crime,,R,113,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,7.8,51.0
Challengers,2024.0,Drama,Romance,Sport,R,131,Luca Guadagnino,Zendaya,Mike Faist,Josh O'Connor,,88.0
