Title,Year,Genre,Age_Rating,Runtime,Director,Stars,Plot_Synopsis,IMDb_Rating,Metascore
Civil War,2024,Action/Thriller,R,1h 49m,Alex Garland,Kirsten Dunst/Wagner Moura/Cailee Spaeny,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",7.6,75
Dune: Part Two,2024,Action/Adventure/Drama,PG-13,2h 46m,Denis Villeneuve,Timothée Chalamet/Zendaya/Rebecca Ferguson,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,8.7,79
Joker: Folie à Deux,,Crime/Drama/Musical,R,,Todd Phillips,Zazie Beetz/Joaquin Phoenix/Lady Gaga,"Sequel to the film ""Joker"" from 2019.",,
Monkey Man,2024,Action/Thriller,R,2h 1m,Dev Patel,Dev Patel/Sharlto Copley/Pitobash,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systemically victimize the poor and powerless.,7.3,70
Godzilla x Kong: The New Empire,2024,Action/Adventure/Sci-Fi,PG-13,1h 55m,Adam Wingard,Rebecca Hall/Brian Tyree Henry/Dan Stevens,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",6.5,47
Scoop,2024,Biography/Drama,TV-14,1h 42m,Philip Martin,Billie Piper/Gillian Anderson/Rufus Sewell,How the BBC obtained the bombshell interview with Prince Andrew about his friendship with convicted sex offender Jeffrey Epstein.,6.6,63
Road House,2024,Action/Thriller,R,2h 1m,Doug Liman,Jake Gyllenhaal/Daniela Melchior/Conor McGregor,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",6.2,57
The First Omen,2024,Horror,R,1h 59m,Arkasha Stevenson,Nell Tiger Free/Ralph Ineson/Sonia Braga,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hop... Read all",6.9,65
Abigail,2024,Horror/Thriller,R,1h 49m,Matt Bettinelli-Olpin,Melissa Barrera/Dan Stevens/Alisha Weir,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",7.1,63
Wish,2023,Animation/Adventure/Comedy,PG,1h 35m,Chris Buck,Ariana DeBose/Chris Pine/Alan Tudyk,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,5.6,47
